N 	Smpl.	Trig

0	136	0
1	131	0
2	126	0
3	120	0
4	115	0
5	110	0
6	106	0
7	104	0
8	105	0
9	106	0
10	109	0
11	113	0
12	118	0
13	125	0
14	131	0
15	138	0
16	145	0
17	150	0
18	153	0
19	154	0
20	154	0
21	151	0
22	147	0
23	141	0
24	133	0
25	125	0
26	117	0
27	109	0
28	101	0
29	96	0
30	93	0
31	92	0
32	94	0
33	99	0
34	105	0
35	114	0
36	125	0
37	134	0
38	145	0
39	154	0
40	162	0
41	168	0
42	169	0
43	168	0
44	165	0
45	158	0
46	148	0
47	137	0
48	124	0
49	111	0
50	100	0
51	88	0
52	82	0
53	78	0
54	77	0
55	78	0
56	86	0
57	97	0
58	109	0
59	123	0
60	138	0
61	152	0
62	165	0
63	174	0
64	181	0
65	184	0
66	182	0
67	176	0
68	167	0
69	154	0
70	138	0
71	123	0
72	107	0
73	91	0
74	80	0
75	70	0
76	66	0
77	64	0
78	70	0
79	78	0
80	91	0
81	105	0
82	123	0
83	139	0
84	157	0
85	170	0
86	182	0
87	189	0
88	190	0
89	188	0
90	181	0
91	170	0
92	156	0
93	139	0
94	122	0
95	105	0
96	90	0
97	77	0
98	68	0
99	64	0
100	64	0
101	69	0
102	78	0
103	91	0
104	106	0
105	123	0
106	140	0
107	155	0
108	169	0
109	179	0
110	185	0
111	187	0
112	184	0
113	177	0
114	166	0
115	153	0
116	138	0
117	122	0
118	108	0
119	94	0
120	84	0
121	77	0
122	73	0
123	74	0
124	79	0
125	86	0
126	98	0
127	110	0
128	125	0
129	137	0
130	150	0
131	161	0
132	168	0
133	172	0
134	173	0
135	170	0
136	165	0
137	157	0
138	146	0
139	135	0
140	124	0
141	113	0
142	102	0
143	96	0
144	90	0
145	89	0
146	89	0
147	93	0
148	99	0
149	107	0
150	116	0
151	125	0
152	134	0
153	142	0
154	149	0
155	154	0
156	157	0
157	158	0
158	156	0
159	152	0
160	146	0
161	139	0
162	132	0
163	125	0
164	118	0
165	111	0
166	106	0
167	104	0
168	102	0
169	102	0
170	105	0
171	109	0
172	114	0
173	120	0
174	126	0
175	131	0
176	137	0
177	142	0
178	145	0
179	147	0
180	147	0
181	147	0
182	145	0
183	140	0
184	136	0
185	130	0
186	126	0
187	121	0
188	115	0
189	112	0
190	109	0
191	107	0
192	108	0
193	110	0
194	112	0
195	116	0
196	120	0
197	126	0
198	131	0
199	137	0
200	141	0
201	145	0
202	147	0
203	148	0
204	147	0
205	145	0
206	141	0
207	137	0
208	131	0
209	125	0
210	118	0
211	112	0
212	107	0
213	104	0
214	102	0
215	102	0
216	103	0
217	106	0
218	112	0
219	118	0
220	126	0
221	133	0
222	141	0
223	147	0
224	153	0
225	157	0
226	158	0
227	158	0
228	155	0
229	149	0
230	142	0
231	133	0
232	124	0
233	114	0
234	104	0
235	97	0
236	91	0
237	89	0
238	87	0
239	90	0
240	94	0
241	104	0
242	113	0
243	125	0
244	136	0
245	148	0
246	158	0
247	166	0
248	172	0
249	174	0
250	174	0
251	169	0
252	160	0
253	149	0
254	137	0
255	122	0
256	109	0
257	96	0
258	85	0
259	77	0
260	72	0
261	73	0
262	76	0
263	84	0
264	95	0
265	109	0
266	125	0
267	141	0
268	155	0
269	169	0
270	179	0
271	185	0
272	187	0
273	185	0
274	178	0
275	167	0
276	154	0
277	138	0
278	121	0
279	104	0
280	89	0
281	77	0
282	68	0
283	64	0
284	65	0
285	69	0
286	78	0
287	91	0
288	107	0
289	125	0
290	142	0
291	158	0
292	173	0
293	182	0
294	189	0
295	190	0
296	188	0
297	181	0
298	168	0
299	153	0
300	137	0
301	120	0
302	104	0
303	89	0
304	78	0
305	69	0
306	66	0
307	66	0
308	72	0
309	81	0
310	94	0
311	109	0
312	125	0
313	140	0
314	155	0
315	169	0
316	177	0
317	182	0
318	183	0
319	180	0
320	173	0
321	163	0
322	149	0
323	135	0
324	122	0
325	107	0
326	95	0
327	86	0
328	80	0
329	77	0
330	78	0
331	84	0
332	91	0
333	102	0
334	113	0
335	126	0
336	137	0
337	149	0
338	158	0
339	164	0
340	168	0
341	169	0
342	166	0
343	161	0
344	152	0
345	144	0
346	133	0
347	123	0
348	113	0
349	105	0
350	99	0
351	94	0
352	93	0
353	94	0
354	98	0
355	103	0
356	110	0
357	118	0
358	126	0
359	134	0
360	141	0
361	147	0
362	151	0
363	153	0
364	154	0
365	151	0
366	148	0
367	144	0
368	137	0
369	130	0
370	125	0
371	118	0
372	112	0
373	109	0
374	106	0
375	105	0
376	106	0
377	108	0
378	111	0
379	116	0
380	121	0
381	126	0
382	132	0
383	136	0
384	141	0
385	144	0
386	146	0
387	146	0
388	145	0
389	142	0
390	139	0
391	134	0
392	130	0
393	125	0
394	120	0
395	115	0
396	110	0
397	109	0
398	107	0
399	107	0
400	109	0
401	110	0
402	116	0
403	121	0
404	126	0
405	132	0
406	137	0
407	142	0
408	147	0
409	149	0
410	150	0
411	149	0
412	147	0
413	142	0
414	137	0
415	130	0
416	124	0
417	117	0
418	110	0
419	105	0
420	101	0
421	98	0
422	98	0
423	99	0
424	104	0
425	110	0
426	118	0
427	126	0
428	135	0
429	144	0
430	152	0
431	158	0
432	162	0
433	164	0
434	162	0
435	158	0
436	151	0
437	143	0
438	133	0
439	122	0
440	110	0
441	101	0
442	92	0
443	86	0
444	83	0
445	83	0
446	86	0
447	93	0
448	102	0
449	113	0
450	126	0
451	139	0
452	152	0
453	163	0
454	172	0
455	177	0
456	179	0
457	177	0
458	171	0
459	162	0
460	149	0
461	134	0
462	121	0
463	105	0
464	92	0
465	81	0
466	73	0
467	69	0
468	69	0
469	73	0
470	83	0
471	94	0
472	110	0
473	126	0
474	142	0
475	158	0
476	172	0
477	182	0
478	188	0
479	190	0
480	186	0
481	179	0
482	167	0
483	152	0
484	136	0
485	118	0
486	102	0
487	87	0
488	75	0
489	67	0
490	62	0
491	65	0
492	70	0
493	80	0
494	94	0
495	109	0
496	126	0
497	144	0
498	159	0
499	173	0
500	182	0
501	188	0
502	190	0
503	186	0
504	178	0
505	166	0
506	151	0
507	136	0
508	118	0
509	104	0
510	89	0
511	78	0
512	72	0
513	68	0
514	70	0
515	75	0
516	85	0
517	97	0
518	111	0
519	126	0
520	141	0
521	155	0
522	166	0
523	174	0
524	178	0
525	179	0
526	176	0
527	169	0
528	158	0
529	146	0
530	133	0
531	121	0
532	108	0
533	97	0
534	89	0
535	84	0
536	82	0
537	83	0
538	89	0
539	96	0
540	105	0
541	116	0
542	127	0
543	137	0
544	147	0
545	155	0
546	161	0
547	163	0
548	163	0
549	161	0
550	157	0
551	148	0
552	141	0
553	131	0
554	123	0
555	115	0
556	107	0
557	102	0
558	98	0
559	98	0
560	98	0
561	102	0
562	107	0
563	113	0
564	120	0
565	127	0
566	133	0
567	140	0
568	145	0
569	149	0
570	150	0
571	149	0
572	149	0
573	144	0
574	140	0
575	135	0
576	129	0
577	124	0
578	118	0
579	114	0
580	110	0
581	107	0
582	107	0
583	107	0
584	109	0
585	113	0
586	117	0
587	122	0
588	126	0
589	132	0
590	137	0
591	141	0
592	144	0
593	146	0
594	146	0
595	145	0
596	142	0
597	139	0
598	134	0
599	129	0
600	125	0
601	118	0
602	114	0
603	110	0
604	107	0
605	105	0
606	106	0
607	107	0
608	110	0
609	115	0
610	121	0
611	127	0
612	134	0
613	139	0
614	145	0
615	150	0
616	152	0
617	153	0
618	153	0
619	150	0
620	145	0
621	138	0
622	130	0
623	123	0
624	114	0
625	107	0
626	101	0
627	96	0
628	94	0
629	94	0
630	97	0
631	101	0
632	109	0
633	117	0
634	128	0
635	137	0
636	147	0
637	156	0
638	163	0
639	166	0
640	168	0
641	166	0
642	161	0
643	154	0
644	144	0
645	133	0
646	121	0
647	108	0
648	97	0
649	88	0
650	81	0
651	78	0
652	78	0
653	82	0
654	90	0
655	101	0
656	113	0
657	129	0
658	142	0
659	155	0
660	167	0
661	176	0
662	182	0
663	182	0
664	180	0
665	173	0
666	162	0
667	149	0
668	134	0
669	118	0
670	102	0
671	89	0
672	77	0
673	69	0
674	66	0
675	67	0
676	72	0
677	82	0
678	95	0
679	110	0
680	128	0
681	145	0
682	161	0
683	174	0
684	185	0
685	190	0
686	190	0
687	187	0
688	178	0
689	166	0
690	151	0
691	134	0
692	117	0
693	101	0
694	85	0
695	73	0
696	66	0
697	64	0
698	65	0
699	71	0
700	81	0
701	95	0
702	111	0
703	128	0
704	144	0
705	160	0
706	173	0
707	182	0
708	187	0
709	187	0
710	182	0
711	174	0
712	163	0
713	149	0
714	133	0
715	118	0
716	104	0
717	90	0
718	80	0
719	74	0
720	71	0
721	74	0
722	79	0
723	89	0
724	101	0
725	114	0
726	128	0
727	142	0
728	154	0
729	164	0
730	170	0
731	174	0
732	174	0
733	171	0
734	164	0
735	154	0
736	144	0
737	131	0
738	121	0
739	110	0
740	99	0
741	93	0
742	88	0
743	86	0
744	88	0
745	93	0
746	101	0
747	108	0
748	118	0
749	129	0
750	136	0
751	145	0
752	152	0
753	157	0
754	158	0
755	158	0
756	156	0
757	151	0
758	145	0
759	137	0
760	130	0
761	122	0
762	115	0
763	109	0
764	104	0
765	102	0
766	102	0
767	102	0
768	105	0
769	110	0
770	116	0
771	121	0
772	128	0
773	134	0
774	139	0
775	143	0
776	147	0
777	148	0
778	147	0
779	147	0
780	142	0
781	139	0
782	134	0
783	128	0
784	124	0
785	118	0
786	114	0
787	110	0
788	109	0
789	108	0
790	108	0
791	110	0
792	113	0
793	118	0
794	123	0
795	128	0
796	133	0
797	138	0
798	142	0
799	145	0
800	147	0
801	148	0
802	146	0
803	145	0
804	139	0
805	134	0
806	128	0
807	123	0
808	117	0
809	112	0
810	107	0
811	105	0
812	102	0
813	102	0
814	105	0
815	109	0
816	115	0
817	121	0
818	129	0
819	134	0
820	142	0
821	149	0
822	153	0
823	156	0
824	157	0
825	156	0
826	153	0
827	146	0
828	139	0
829	130	0
830	121	0
831	112	0
832	104	0
833	97	0
834	91	0
835	88	0
836	89	0
837	93	0
838	99	0
839	107	0
840	118	0
841	128	0
842	140	0
843	150	0
844	161	0
845	168	0
846	172	0
847	173	0
848	171	0
849	165	0
850	156	0
851	145	0
852	132	0
853	118	0
854	104	0
855	93	0
856	83	0
857	77	0
858	74	0
859	75	0
860	78	0
861	88	0
862	101	0
863	114	0
864	129	0
865	145	0
866	158	0
867	171	0
868	181	0
869	185	0
870	186	0
871	182	0
872	174	0
873	163	0
874	149	0
875	133	0
876	116	0
877	100	0
878	86	0
879	73	0
880	66	0
881	64	0
882	65	0
883	73	0
884	82	0
885	96	0
886	113	0
887	129	0
888	147	0
889	163	0
890	177	0
891	185	0
892	190	0
893	190	0
894	186	0
895	177	0
896	165	0
897	150	0
898	132	0
899	116	0
900	99	0
901	85	0
902	73	0
903	67	0
904	64	0
905	67	0
906	73	0
907	85	0
908	98	0
909	113	0
910	130	0
911	145	0
912	160	0
913	172	0
914	180	0
915	184	0
916	184	0
917	180	0
918	171	0
919	159	0
920	146	0
921	131	0
922	117	0
923	103	0
924	91	0
925	83	0
926	78	0
927	76	0
928	78	0
929	85	0
930	93	0
931	104	0
932	117	0
933	129	0
934	142	0
935	152	0
936	161	0
937	167	0
938	170	0
939	169	0
940	166	0
941	159	0
942	150	0
943	141	0
944	130	0
945	119	0
946	110	0
947	102	0
948	96	0
949	93	0
950	92	0
951	93	0
952	97	0
953	104	0
954	112	0
955	120	0
956	129	0
957	137	0
958	144	0
959	150	0
960	153	0
961	155	0
962	154	0
963	151	0
964	148	0
965	142	0
966	135	0
967	129	0
968	122	0
969	116	0
970	110	0
971	107	0
972	104	0
973	105	0
974	105	0
975	109	0
976	112	0
977	117	0
978	122	0
979	128	0
980	133	0
981	138	0
982	142	0
983	145	0
984	147	0
985	146	0
986	145	0
987	142	0
988	138	0
989	133	0
990	129	0
991	124	0
992	118	0
993	114	0
994	110	0
995	108	0
996	107	0
997	109	0
998	110	0
999	113	0
