Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 31,25 mV
Zero level = 123

N 	Smpl.	Trig

0	101	0
1	109	0
2	118	0
3	127	0
4	135	0
5	143	0
6	152	0
7	160	0
8	167	0
9	173	0
10	177	0
11	182	0
12	185	0
13	187	0
14	188	0
15	187	0
16	185	0
17	183	0
18	178	0
19	173	0
20	167	0
21	160	0
22	153	0
23	145	0
24	137	0
25	127	0
26	119	0
27	109	0
28	101	0
29	93	0
30	85	0
31	79	0
32	73	0
33	68	0
34	64	0
35	61	0
36	59	0
37	60	0
38	59	0
39	63	0
40	65	0
41	71	0
42	76	0
43	83	0
44	89	0
45	97	0
46	105	0
47	113	0
48	123	0
49	131	0
50	140	0
51	149	0
52	157	0
53	164	0
54	170	0
55	175	0
56	180	0
57	185	0
58	187	0
59	187	0
60	188	0
61	187	0
62	184	0
63	180	0
64	176	0
65	171	0
66	165	0
67	156	0
68	148	0
69	140	0
70	131	0
71	123	0
72	113	0
73	105	0
74	97	0
75	88	0
76	83	0
77	75	0
78	69	0
79	65	0
80	61	0
81	61	0
82	60	0
83	59	0
84	61	0
85	64	0
86	68	0
87	73	0
88	79	0
89	85	0
90	93	0
91	101	0
92	109	0
93	117	0
94	127	0
95	136	0
96	144	0
97	153	0
98	161	0
99	167	0
100	173	0
101	179	0
102	183	0
103	185	0
104	187	0
105	187	0
106	187	0
107	185	0
108	183	0
109	177	0
110	173	0
111	167	0
112	161	0
113	152	0
114	144	0
115	135	0
116	127	0
117	117	0
118	109	0
119	100	0
120	92	0
121	84	0
122	79	0
123	73	0
124	68	0
125	63	0
126	61	0
127	60	0
128	60	0
129	61	0
130	63	0
131	67	0
132	71	0
133	75	0
134	82	0
135	89	0
136	97	0
137	105	0
138	115	0
139	123	0
140	131	0
141	141	0
142	149	0
143	157	0
144	165	0
145	171	0
146	176	0
147	181	0
148	184	0
149	187	0
150	188	0
151	187	0
152	187	0
153	184	0
154	180	0
155	175	0
156	170	0
157	163	0
158	155	0
159	147	0
160	139	0
161	131	0
162	123	0
163	113	0
164	104	0
165	95	0
166	89	0
167	81	0
168	75	0
169	69	0
170	65	0
171	63	0
172	60	0
173	60	0
174	60	0
175	61	0
176	65	0
177	68	0
178	73	0
179	79	0
180	85	0
181	93	0
182	101	0
183	109	0
184	119	0
185	129	0
186	137	0
187	145	0
188	153	0
189	161	0
190	168	0
191	174	0
192	179	0
193	183	0
194	185	0
195	187	0
196	188	0
197	187	0
198	185	0
199	183	0
200	177	0
201	173	0
202	165	0
203	159	0
204	151	0
205	143	0
206	135	0
207	125	0
208	117	0
209	108	0
210	99	0
211	91	0
212	84	0
213	77	0
214	72	0
215	67	0
216	64	0
217	61	0
218	60	0
219	59	0
220	61	0
221	63	0
222	67	0
223	71	0
224	76	0
225	83	0
226	90	0
227	97	0
228	107	0
229	115	0
230	123	0
231	133	0
232	141	0
233	149	0
234	157	0
235	165	0
236	171	0
237	177	0
238	181	0
239	185	0
240	187	0
241	188	0
242	188	0
243	187	0
244	183	0
245	180	0
246	175	0
247	169	0
248	163	0
249	155	0
250	147	0
251	139	0
252	129	0
253	121	0
254	112	0
255	104	0
256	96	0
257	88	0
258	81	0
259	75	0
260	69	0
261	65	0
262	61	0
263	60	0
264	60	0
265	61	0
266	61	0
267	65	0
268	69	0
269	73	0
270	80	0
271	87	0
272	95	0
273	103	0
274	111	0
275	119	0
276	129	0
277	137	0
278	145	0
279	154	0
280	163	0
281	169	0
282	175	0
283	179	0
284	183	0
285	185	0
286	187	0
287	188	0
288	187	0
289	185	0
290	181	0
291	177	0
292	172	0
293	165	0
294	159	0
295	151	0
296	141	0
297	135	0
298	124	0
299	116	0
300	108	0
301	99	0
302	92	0
303	84	0
304	77	0
305	71	0
306	67	0
307	63	0
308	61	0
309	59	0
310	59	0
311	61	0
312	63	0
313	67	0
314	72	0
315	77	0
316	84	0
317	91	0
318	99	0
319	107	0
320	115	0
321	125	0
322	133	0
323	143	0
324	151	0
325	159	0
326	165	0
327	171	0
328	177	0
329	181	0
330	185	0
331	187	0
332	189	0
333	187	0
334	185	0
335	183	0
336	179	0
337	175	0
338	168	0
339	161	0
340	154	0
341	145	0
342	137	0
343	129	0
344	120	0
345	111	0
346	103	0
347	95	0
348	87	0
349	80	0
350	73	0
351	69	0
352	65	0
353	61	0
354	59	0
355	59	0
356	59	0
357	62	0
358	65	0
359	69	0
360	75	0
361	81	0
362	87	0
363	95	0
364	103	0
365	111	0
366	121	0
367	129	0
368	139	0
369	147	0
370	155	0
371	163	0
372	169	0
373	175	0
374	179	0
375	183	0
376	187	0
377	188	0
378	188	0
379	187	0
380	185	0
381	181	0
382	177	0
383	171	0
384	165	0
385	157	0
386	149	0
387	141	0
388	133	0
389	124	0
390	115	0
391	107	0
392	98	0
393	91	0
394	83	0
395	76	0
396	71	0
397	67	0
398	63	0
399	60	0
400	60	0
401	60	0
402	61	0
403	64	0
404	67	0
405	72	0
406	77	0
407	84	0
408	92	0
409	100	0
410	108	0
411	117	0
412	125	0
413	135	0
414	143	0
415	151	0
416	159	0
417	165	0
418	173	0
419	177	0
420	182	0
421	185	0
422	187	0
423	188	0
424	187	0
425	186	0
426	183	0
427	179	0
428	174	0
429	168	0
430	161	0
431	153	0
432	145	0
433	137	0
434	128	0
435	119	0
436	111	0
437	101	0
438	93	0
439	85	0
440	80	0
441	73	0
442	68	0
443	65	0
444	61	0
445	60	0
446	60	0
447	60	0
448	62	0
449	66	0
450	69	0
451	75	0
452	81	0
453	89	0
454	96	0
455	104	0
456	113	0
457	121	0
458	131	0
459	139	0
460	147	0
461	155	0
462	163	0
463	171	0
464	176	0
465	180	0
466	184	0
467	187	0
468	187	0
469	188	0
470	187	0
471	185	0
472	181	0
473	176	0
474	171	0
475	165	0
476	157	0
477	149	0
478	141	0
479	132	0
480	123	0
481	114	0
482	107	0
483	97	0
484	89	0
485	83	0
486	76	0
487	71	0
488	67	0
489	63	0
490	61	0
491	59	0
492	60	0
493	61	0
494	64	0
495	67	0
496	73	0
497	78	0
498	85	0
499	93	0
500	100	0
501	109	0
502	117	0
503	127	0
504	135	0
505	143	0
506	153	0
507	160	0
508	167	0
509	173	0
510	179	0
511	183	0
512	185	0
513	187	0
514	188	0
515	187	0
516	185	0
517	183	0
518	179	0
519	173	0
520	167	0
521	161	0
522	153	0
523	145	0
524	136	0
525	128	0
526	119	0
527	109	0
528	101	0
529	93	0
530	85	0
531	79	0
532	73	0
533	68	0
534	64	0
535	61	0
536	59	0
537	60	0
538	60	0
539	63	0
540	67	0
541	71	0
542	76	0
543	81	0
544	89	0
545	97	0
546	105	0
547	113	0
548	123	0
549	131	0
550	140	0
551	149	0
552	156	0
553	164	0
554	171	0
555	176	0
556	181	0
557	185	0
558	187	0
559	187	0
560	188	0
561	187	0
562	184	0
563	180	0
564	176	0
565	171	0
566	164	0
567	157	0
568	148	0
569	140	0
570	131	0
571	123	0
572	113	0
573	105	0
574	96	0
575	89	0
576	81	0
577	75	0
578	69	0
579	65	0
580	61	0
581	60	0
582	60	0
583	59	0
584	61	0
585	64	0
586	68	0
587	73	0
588	79	0
589	85	0
590	93	0
591	101	0
592	109	0
593	118	0
594	127	0
595	136	0
596	145	0
597	153	0
598	161	0
599	167	0
600	173	0
601	179	0
602	183	0
603	185	0
604	187	0
605	188	0
606	187	0
607	185	0
608	182	0
609	177	0
610	173	0
611	167	0
612	160	0
613	152	0
614	144	0
615	135	0
616	127	0
617	117	0
618	109	0
619	100	0
620	92	0
621	85	0
622	79	0
623	73	0
624	67	0
625	64	0
626	61	0
627	60	0
628	60	0
629	60	0
630	63	0
631	67	0
632	71	0
633	76	0
634	83	0
635	89	0
636	97	0
637	105	0
638	115	0
639	123	0
640	132	0
641	141	0
642	149	0
643	157	0
644	165	0
645	171	0
646	176	0
647	181	0
648	185	0
649	187	0
650	187	0
651	188	0
652	187	0
653	183	0
654	180	0
655	175	0
656	169	0
657	163	0
658	156	0
659	147	0
660	139	0
661	131	0
662	121	0
663	113	0
664	105	0
665	95	0
666	88	0
667	81	0
668	75	0
669	69	0
670	65	0
671	63	0
672	60	0
673	60	0
674	60	0
675	61	0
676	64	0
677	68	0
678	73	0
679	79	0
680	85	0
681	93	0
682	101	0
683	111	0
684	119	0
685	128	0
686	137	0
687	145	0
688	153	0
689	161	0
690	168	0
691	173	0
692	179	0
693	183	0
694	185	0
695	187	0
696	188	0
697	187	0
698	185	0
699	183	0
700	178	0
701	173	0
702	166	0
703	159	0
704	151	0
705	143	0
706	135	0
707	125	0
708	117	0
709	108	0
710	99	0
711	91	0
712	84	0
713	77	0
714	72	0
715	67	0
716	64	0
717	61	0
718	59	0
719	60	0
720	60	0
721	63	0
722	67	0
723	71	0
724	77	0
725	83	0
726	91	0
727	97	0
728	107	0
729	115	0
730	124	0
731	133	0
732	141	0
733	149	0
734	157	0
735	165	0
736	171	0
737	177	0
738	181	0
739	185	0
740	187	0
741	188	0
742	187	0
743	185	0
744	183	0
745	179	0
746	175	0
747	169	0
748	163	0
749	155	0
750	147	0
751	139	0
752	129	0
753	121	0
754	112	0
755	104	0
756	95	0
757	87	0
758	81	0
759	75	0
760	69	0
761	65	0
762	63	0
763	60	0
764	59	0
765	60	0
766	61	0
767	65	0
768	69	0
769	73	0
770	80	0
771	87	0
772	95	0
773	103	0
774	111	0
775	120	0
776	129	0
777	137	0
778	145	0
779	153	0
780	162	0
781	169	0
782	175	0
783	179	0
784	183	0
785	186	0
786	188	0
787	188	0
788	187	0
789	185	0
790	182	0
791	177	0
792	172	0
793	165	0
794	159	0
795	151	0
796	141	0
797	133	0
798	124	0
799	116	0
800	107	0
801	99	0
802	91	0
803	83	0
804	77	0
805	71	0
806	67	0
807	63	0
808	61	0
809	59	0
810	59	0
811	61	0
812	63	0
813	67	0
814	72	0
815	77	0
816	84	0
817	91	0
818	99	0
819	107	0
820	116	0
821	125	0
822	133	0
823	141	0
824	151	0
825	159	0
826	165	0
827	172	0
828	177	0
829	181	0
830	185	0
831	187	0
832	188	0
833	187	0
834	185	0
835	183	0
836	179	0
837	175	0
838	169	0
839	161	0
840	155	0
841	145	0
842	139	0
