Oscilloscope data. 
Time step = 5,000 uS
Voltage step = 31,25 mV
Zero level = 123

N 	Smpl.	Trig

0	140	0
1	180	0
2	176	0
3	136	0
4	95	0
5	83	0
6	100	0
7	127	0
8	143	0
9	141	0
10	129	0
11	117	0
12	111	0
13	112	0
14	123	0
15	141	0
16	149	0
17	139	0
18	109	0
19	80	0
20	80	0
21	117	0
22	165	0
23	187	0
24	161	0
25	107	0
26	68	0
27	72	0
28	111	0
29	152	0
30	165	0
31	147	0
32	119	0
33	104	0
34	107	0
35	119	0
36	130	0
37	136	0
38	135	0
39	123	0
40	107	0
41	97	0
42	108	0
43	139	0
44	167	0
45	168	0
46	130	0
47	81	0
48	60	0
49	87	0
50	140	0
51	180	0
52	175	0
53	136	0
54	95	0
55	83	0
56	100	0
57	128	0
58	143	0
59	141	0
60	129	0
61	117	0
62	109	0
63	112	0
64	124	0
65	141	0
66	149	0
67	139	0
68	109	0
69	80	0
70	80	0
71	117	0
72	165	0
73	187	0
74	160	0
75	107	0
76	67	0
77	71	0
78	111	0
79	153	0
80	165	0
81	147	0
82	120	0
83	104	0
84	106	0
85	119	0
86	131	0
87	136	0
88	135	0
89	124	0
90	107	0
91	97	0
92	108	0
93	137	0
94	167	0
95	167	0
96	131	0
97	81	0
98	61	0
99	87	0
100	141	0
101	180	0
102	175	0
103	136	0
104	95	0
105	83	0
106	100	0
107	127	0
108	143	0
109	141	0
110	129	0
111	117	0
112	111	0
113	112	0
114	124	0
115	140	0
116	150	0
117	139	0
118	109	0
119	81	0
120	80	0
121	117	0
122	165	0
123	187	0
124	161	0
125	107	0
126	68	0
127	71	0
128	111	0
129	152	0
130	164	0
131	148	0
132	121	0
133	103	0
134	107	0
135	119	0
136	129	0
137	137	0
138	135	0
139	123	0
140	107	0
141	97	0
142	109	0
143	139	0
144	167	0
145	168	0
146	129	0
147	81	0
148	61	0
149	87	0
150	140	0
151	179	0
152	176	0
153	136	0
154	95	0
155	83	0
156	100	0
157	127	0
158	143	0
159	141	0
160	129	0
161	117	0
162	111	0
163	113	0
164	124	0
165	140	0
166	149	0
167	139	0
168	109	0
169	80	0
170	81	0
171	117	0
172	165	0
173	187	0
174	161	0
175	107	0
176	68	0
177	71	0
178	111	0
179	152	0
180	165	0
181	147	0
182	120	0
183	104	0
184	107	0
185	118	0
186	129	0
187	137	0
188	135	0
189	124	0
190	107	0
191	97	0
192	108	0
193	139	0
194	167	0
195	168	0
196	129	0
197	81	0
198	61	0
199	87	0
200	140	0
201	180	0
202	175	0
203	137	0
204	93	0
205	83	0
206	100	0
207	128	0
208	143	0
209	141	0
210	129	0
211	117	0
212	111	0
213	113	0
214	124	0
215	140	0
216	149	0
217	139	0
218	109	0
219	80	0
220	81	0
221	117	0
222	165	0
223	187	0
224	161	0
225	107	0
226	67	0
227	72	0
228	111	0
229	152	0
230	164	0
231	147	0
232	120	0
233	103	0
234	106	0
235	119	0
236	130	0
237	136	0
238	135	0
239	123	0
240	107	0
241	97	0
242	109	0
243	138	0
244	167	0
245	167	0
246	129	0
247	83	0
248	61	0
249	87	0
250	140	0
251	180	0
252	176	0
253	136	0
254	93	0
255	82	0
256	99	0
257	128	0
258	143	0
259	141	0
260	129	0
261	117	0
262	111	0
263	113	0
264	123	0
265	140	0
266	149	0
267	139	0
268	109	0
269	80	0
270	80	0
271	117	0
272	165	0
273	186	0
274	161	0
275	107	0
276	68	0
277	72	0
278	111	0
279	152	0
280	165	0
281	147	0
282	120	0
283	103	0
284	107	0
285	119	0
286	131	0
287	136	0
288	135	0
289	123	0
290	107	0
291	97	0
292	109	0
293	137	0
294	167	0
295	167	0
296	129	0
297	81	0
298	61	0
299	87	0
300	140	0
301	180	0
302	175	0
303	136	0
304	96	0
305	83	0
306	100	0
307	127	0
308	143	0
309	141	0
310	129	0
311	117	0
312	111	0
313	112	0
314	124	0
315	141	0
316	149	0
317	139	0
318	109	0
319	80	0
320	80	0
321	117	0
322	165	0
323	187	0
324	161	0
325	107	0
326	68	0
327	71	0
328	111	0
329	152	0
330	165	0
331	147	0
